Environment,UTD,Learning Rate,Batch Size,Learning Rate x√2,Learning Rate x√0.5,Batch Size x√2,Batch Size x√0.5,Batch Size(rounded),Batch Size x√2(rounded),Batch Size x√0.5(rounded)
cartpole-swingup,0.25,0.0012,1033,0.0017,0.00085,1461,730,1040,1456,736
cartpole-swingup,0.5,0.000967,738,0.00137,0.000684,1044,522,736,1040,528
cartpole-swingup,1.0,0.000778,527,0.0011,0.00055,746,373,528,752,368
cartpole-swingup,2.0,0.000626,377,0.000886,0.000443,533,266,384,528,272
cartpole-swingup,4.0,0.000504,269,0.000713,0.000356,381,190,272,384,192
cartpole-swingup,8.0,0.000406,192,0.000574,0.000287,272,136,192,272,128
cartpole-swingup,16.0,0.000326,137,0.000462,0.000231,195,97,144,192,96
cartpole-swingup,32.0,0.000263,98,0.000372,0.000186,139,69,96,144,64
cartpole-swingup,64.0,0.000211,70,0.000299,0.000149,99,49,64,96,48
cartpole-swingup,128.0,0.00017,50,0.000241,0.00012,71,35,48,64,32
cartpole-swingup,256.0,0.000137,36,0.000194,9.68e-05,50,25,32,48,32
cheetah-run,0.25,0.00106,1138,0.00149,0.000747,1609,804,1136,1616,800
cheetah-run,0.5,0.00085,813,0.0012,0.000601,1150,575,816,1152,576
cheetah-run,1.0,0.000684,581,0.000967,0.000484,822,411,576,816,416
cheetah-run,2.0,0.00055,415,0.000778,0.000389,588,294,416,592,288
cheetah-run,4.0,0.000443,297,0.000626,0.000313,420,210,304,416,208
cheetah-run,8.0,0.000356,212,0.000504,0.000252,300,150,208,304,144
cheetah-run,16.0,0.000287,151,0.000406,0.000203,214,107,144,208,112
cheetah-run,32.0,0.000231,108,0.000326,0.000163,153,76,112,160,80
cheetah-run,64.0,0.000186,77,0.000263,0.000131,109,54,80,112,48
cheetah-run,128.0,0.00015,55,0.000211,0.000106,78,39,48,80,32
cheetah-run,256.0,0.00012,39,0.00017,8.51e-05,56,28,32,64,32
dog-stand,0.25,0.000816,246,0.00115,0.000577,348,174,240,352,176
dog-stand,0.5,0.000657,175,0.000929,0.000465,248,124,176,256,128
dog-stand,1.0,0.000529,125,0.000748,0.000374,177,88,128,176,96
dog-stand,2.0,0.000426,89,0.000602,0.000301,127,63,96,128,64
dog-stand,4.0,0.000342,64,0.000484,0.000242,90,45,64,96,48
dog-stand,8.0,0.000276,45,0.00039,0.000195,64,32,48,64,32
dog-stand,16.0,0.000222,32,0.000314,0.000157,46,23,32,48,16
dog-stand,32.0,0.000179,23,0.000252,0.000126,33,16,16,32,16
dog-stand,64.0,0.000144,16,0.000203,0.000102,23,11,16,16,16
dog-stand,128.0,0.000116,12,0.000164,8.18e-05,16,8,16,16,0
dog-stand,256.0,9.31e-05,8,0.000132,6.58e-05,12,6,0,16,0
finger-spin,0.25,0.00144,1163,0.00204,0.00102,1645,822,1168,1648,816
finger-spin,0.5,0.00116,831,0.00164,0.00082,1176,588,832,1184,592
finger-spin,1.0,0.000933,594,0.00132,0.00066,840,420,592,832,416
finger-spin,2.0,0.000751,425,0.00106,0.000531,601,300,432,608,304
finger-spin,4.0,0.000604,303,0.000855,0.000427,429,214,304,432,208
finger-spin,8.0,0.000486,217,0.000688,0.000344,307,153,224,304,160
finger-spin,16.0,0.000391,155,0.000554,0.000277,219,109,160,224,112
finger-spin,32.0,0.000315,111,0.000446,0.000223,157,78,112,160,80
finger-spin,64.0,0.000254,79,0.000359,0.000179,112,56,80,112,64
finger-spin,128.0,0.000204,56,0.000289,0.000144,80,40,64,80,32
finger-spin,256.0,0.000164,40,0.000232,0.000116,57,28,32,64,32
humanoid-stand,0.25,0.000743,860,0.00105,0.000525,1216,608,864,1216,608
humanoid-stand,0.5,0.000598,615,0.000845,0.000423,869,434,608,864,432
humanoid-stand,1.0,0.000481,439,0.00068,0.00034,621,310,432,624,304
humanoid-stand,2.0,0.000387,314,0.000547,0.000274,444,222,320,448,224
humanoid-stand,4.0,0.000312,224,0.000441,0.00022,317,158,224,320,160
humanoid-stand,8.0,0.000251,160,0.000355,0.000177,227,113,160,224,112
humanoid-stand,16.0,0.000202,114,0.000285,0.000143,162,81,112,160,80
humanoid-stand,32.0,0.000162,82,0.00023,0.000115,116,58,80,112,64
humanoid-stand,64.0,0.000131,58,0.000185,9.24e-05,83,41,64,80,48
humanoid-stand,128.0,0.000105,41,0.000149,7.44e-05,59,29,48,64,32
humanoid-stand,256.0,8.46e-05,29,0.00012,5.99e-05,42,21,32,48,16
quadruped-walk,0.25,0.00136,1043,0.00193,0.000963,1475,737,1040,1472,736
quadruped-walk,0.5,0.0011,745,0.00155,0.000775,1054,527,752,1056,528
quadruped-walk,1.0,0.000882,533,0.00125,0.000624,754,377,528,752,384
quadruped-walk,2.0,0.00071,381,0.001,0.000502,539,269,384,544,272
quadruped-walk,4.0,0.000571,272,0.000808,0.000404,385,192,272,384,192
quadruped-walk,8.0,0.00046,194,0.00065,0.000325,275,137,192,272,144
quadruped-walk,16.0,0.00037,139,0.000523,0.000262,196,98,144,192,96
quadruped-walk,32.0,0.000298,99,0.000421,0.000211,140,70,96,144,64
quadruped-walk,64.0,0.00024,71,0.000339,0.000169,100,50,64,96,48
quadruped-walk,128.0,0.000193,50,0.000273,0.000136,71,35,48,64,32
quadruped-walk,256.0,0.000155,36,0.00022,0.00011,51,25,32,48,32
walker-walk,0.25,0.00154,574,0.00218,0.00109,812,406,576,816,400
walker-walk,0.5,0.00124,410,0.00176,0.000878,580,290,416,576,288
walker-walk,1.0,0.000999,293,0.00141,0.000706,415,207,288,416,208
walker-walk,2.0,0.000804,209,0.00114,0.000568,296,148,208,288,144
walker-walk,4.0,0.000647,150,0.000915,0.000458,212,106,144,208,112
walker-walk,8.0,0.000521,107,0.000736,0.000368,151,75,112,144,80
walker-walk,16.0,0.000419,76,0.000593,0.000296,108,54,80,112,48
walker-walk,32.0,0.000337,54,0.000477,0.000238,77,38,48,80,32
walker-walk,64.0,0.000271,39,0.000384,0.000192,55,27,32,48,32
walker-walk,128.0,0.000218,28,0.000309,0.000154,39,19,32,32,16
walker-walk,256.0,0.000176,20,0.000249,0.000124,28,14,16,32,16
