Environment,UTD,Learning Rate,Batch Size,Learning Rate x√2,Learning Rate x√0.5,Batch Size x√2,Batch Size x√0.5,Batch Size(rounded),Batch Size x√2(rounded),Batch Size x√0.5(rounded)
Ant-v4,0.25,0.000223,638,0.000316,0.000158,903,451,640,896,448
Ant-v4,0.5,0.000183,515,0.000259,0.00013,728,364,512,736,368
Ant-v4,1.0,0.00015,415,0.000213,0.000106,588,294,416,592,288
Ant-v4,2.0,0.000123,335,0.000175,8.73e-05,474,237,336,480,240
Ant-v4,4.0,0.000101,270,0.000143,7.16e-05,382,191,272,384,192
Ant-v4,8.0,8.31e-05,218,0.000118,5.88e-05,308,154,224,304,160
Ant-v4,16.0,6.82e-05,176,9.65e-05,4.83e-05,249,124,176,256,128
HalfCheetah-v4,0.25,0.00278,632,0.00393,0.00196,895,447,640,896,448
HalfCheetah-v4,0.5,0.00228,510,0.00322,0.00161,722,361,512,720,368
HalfCheetah-v4,1.0,0.00187,412,0.00265,0.00132,582,291,416,576,288
HalfCheetah-v4,2.0,0.00154,332,0.00217,0.00109,470,235,336,464,240
HalfCheetah-v4,4.0,0.00126,268,0.00178,0.000891,379,189,272,384,192
HalfCheetah-v4,8.0,0.00103,216,0.00146,0.000732,306,153,224,304,160
HalfCheetah-v4,16.0,0.000849,174,0.0012,0.000601,246,123,176,240,128
Humanoid-v4,0.25,0.000283,481,0.0004,0.0002,680,340,480,672,336
Humanoid-v4,0.5,0.000232,388,0.000328,0.000164,548,274,384,544,272
Humanoid-v4,1.0,0.000191,313,0.000269,0.000135,442,221,320,448,224
Humanoid-v4,2.0,0.000156,252,0.000221,0.000111,357,178,256,352,176
Humanoid-v4,4.0,0.000128,203,0.000182,9.08e-05,288,144,208,288,144
Humanoid-v4,8.0,0.000105,164,0.000149,7.45e-05,232,116,160,224,112
Humanoid-v4,16.0,8.65e-05,132,0.000122,6.12e-05,187,93,128,192,96
Walker2d-v4,0.25,0.00122,495,0.00173,0.000865,701,350,496,704,352
Walker2d-v4,0.5,0.001,400,0.00142,0.00071,565,282,400,560,288
Walker2d-v4,1.0,0.000824,322,0.00117,0.000583,456,228,320,448,224
Walker2d-v4,2.0,0.000676,260,0.000956,0.000478,368,184,256,368,192
Walker2d-v4,4.0,0.000555,210,0.000785,0.000393,297,148,208,304,144
Walker2d-v4,8.0,0.000456,169,0.000644,0.000322,239,119,176,240,112
Walker2d-v4,16.0,0.000374,136,0.000529,0.000264,193,96,128,192,96
